game,normal_wr_pct,smurf_wr_pct,hardstuck_wr_pct,autofill_count_top,autofill_count_jungle,autofill_count_mid,autofill_count_adc,autofill_count_support
1,50.62,50.00,45.00,,,,,
2,49.06,55.00,52.50,,,,,
3,49.17,56.67,50.00,,,,,
4,50.31,52.50,45.00,,,,,
5,49.50,57.00,47.00,,,,,
6,48.85,58.33,50.83,,,,,
7,49.20,55.00,51.43,,,,,
8,49.22,55.62,50.62,,,,,
9,49.17,54.44,52.22,,,,,
10,49.19,54.00,52.50,,,,,
11,49.60,52.73,50.45,,,,,
12,49.53,54.58,49.17,,,,,
13,49.52,54.62,49.23,,,,,
14,49.64,53.21,49.64,,,,,
15,49.67,53.00,49.67,,,,,
16,49.65,54.38,48.44,,,,,
17,49.82,53.24,48.24,,,,,
18,49.62,55.00,48.06,,,,,
19,49.61,54.74,48.42,,,,,
20,49.69,54.00,48.50,,,,,
21,49.64,54.76,48.10,,,,,
22,49.77,54.32,47.50,,,,,
23,49.73,55.43,46.74,,,,,
24,49.66,55.62,47.08,,,,,
25,49.70,55.00,47.40,,,,,
26,49.71,55.38,46.92,,,,,
27,49.58,55.74,47.59,,,,,
28,49.55,55.71,47.86,,,,,
29,49.68,54.66,47.93,,,,,
30,49.73,54.17,48.00,,,,,
31,49.64,54.52,48.39,,,,,
32,49.67,54.06,48.59,,,,,
33,49.68,53.94,48.64,,,,,
34,49.61,54.41,48.68,,,,,
35,49.62,54.71,48.29,,,,,
36,49.69,54.44,48.06,,,,,
37,49.68,55.00,47.57,,,,,
38,49.61,55.39,47.76,,,,,
39,49.62,55.64,47.44,,,,,
40,49.64,55.38,47.50,,,,,
41,49.70,55.00,47.44,,,,,
42,49.70,55.12,47.26,,,,,
43,49.69,55.00,47.44,,,,,
44,49.64,55.00,47.84,,,,,
45,49.60,55.33,47.89,,,,,
46,49.63,55.22,47.72,,,,,
47,49.59,55.53,47.77,,,,,
48,49.57,55.73,47.71,,,,,
49,49.58,55.61,47.76,,,,,
50,49.56,55.90,47.60,,,,,
51,49.51,56.08,47.84,,,,,
52,49.50,55.96,48.08,,,,,
53,49.56,55.47,48.02,,,,,
54,49.55,55.37,48.24,,,,,
55,49.56,55.09,48.45,,,,,
56,49.51,55.18,48.75,,,,,
57,49.50,55.26,48.77,,,,,
58,49.41,55.86,48.88,,,,,
59,49.47,55.42,48.81,,,,,
60,49.50,55.33,48.67,,,,,
61,49.50,55.25,48.77,,,,,
62,49.53,54.84,48.95,,,,,
63,49.48,55.16,48.97,,,,,
64,49.53,55.08,48.67,,,,,
65,49.53,55.00,48.77,,,,,
66,49.55,54.85,48.71,,,,,
67,49.60,54.70,48.51,,,,,
68,49.56,55.00,48.53,,,,,
69,49.55,55.29,48.33,,,,,
70,49.55,55.29,48.29,,,,,
71,49.58,55.35,48.03,,,,,
72,49.58,55.35,47.99,,,,,
73,49.61,55.27,47.88,,,,,
74,49.57,55.61,47.84,,,,,
75,49.57,55.60,47.87,,,,,
76,49.55,55.66,47.96,,,,,
77,49.57,55.65,47.79,,,,,
78,49.59,55.38,47.88,,,,,
79,49.61,55.06,48.04,,,,,
80,49.61,55.06,48.06,,,,,
81,49.55,55.49,48.09,,,,,
82,49.50,55.73,48.23,,,,,
83,49.51,55.66,48.25,,,,,
84,49.52,55.42,48.39,,,,,
85,49.53,55.47,48.29,,,,,
86,49.53,55.58,48.14,,,,,
87,49.52,55.75,48.10,,,,,
88,49.55,55.45,48.12,,,,,
89,49.56,55.56,47.92,,,,,
90,49.56,55.67,47.89,,,,,
91,49.58,55.55,47.80,,,,,
92,49.59,55.33,47.93,,,,,
93,49.58,55.27,48.12,,,,,
94,49.59,55.21,48.03,,,,,
95,49.63,54.84,48.11,,,,,
96,49.66,54.79,47.92,,,,,
97,49.64,54.74,48.14,,,,,
98,49.58,55.00,48.37,,,,,
99,49.57,55.05,48.38,,,,,
100,49.59,54.80,48.50,950,724,785,1156,468
